Time,main.plant_node,main.setpoint,main.out
4.230000e-02,3.187560e+00,3.300000e+00,-2.206490e-01
4.231000e-02,3.411218e+00,3.300000e+00,2.270691e-01
4.232000e-02,3.187739e+00,3.300000e+00,-2.202911e-01
4.233000e-02,3.411040e+00,3.300000e+00,2.267115e-01
4.234000e-02,3.187918e+00,3.300000e+00,-2.199339e-01
4.235000e-02,3.410862e+00,3.300000e+00,2.263545e-01
4.236000e-02,3.188096e+00,3.300000e+00,-2.195771e-01
4.237000e-02,3.410684e+00,3.300000e+00,2.259981e-01
4.238000e-02,3.188275e+00,3.300000e+00,-2.192210e-01
4.239000e-02,3.410506e+00,3.300000e+00,2.256422e-01
4.240000e-02,3.188452e+00,3.300000e+00,-2.188654e-01
4.241000e-02,3.410329e+00,3.300000e+00,2.252870e-01
4.242000e-02,3.188630e+00,3.300000e+00,-2.185104e-01
4.243000e-02,3.410152e+00,3.300000e+00,2.249322e-01
4.244000e-02,3.188807e+00,3.300000e+00,-2.181560e-01
4.245000e-02,3.409975e+00,3.300000e+00,2.245781e-01
4.246000e-02,3.188984e+00,3.300000e+00,-2.178021e-01
4.247000e-02,3.409799e+00,3.300000e+00,2.242245e-01
4.248000e-02,3.189161e+00,3.300000e+00,-2.174488e-01
4.249000e-02,3.409623e+00,3.300000e+00,2.238715e-01
4.250000e-02,3.189337e+00,3.300000e+00,-2.170961e-01
4.251000e-02,3.409447e+00,3.300000e+00,2.235190e-01
4.252000e-02,3.189514e+00,3.300000e+00,-2.167439e-01
4.253000e-02,3.409271e+00,3.300000e+00,2.231671e-01
4.254000e-02,3.189689e+00,3.300000e+00,-2.163923e-01
4.255000e-02,3.409096e+00,3.300000e+00,2.228158e-01
4.256000e-02,3.189865e+00,3.300000e+00,-2.160412e-01
4.257000e-02,3.408921e+00,3.300000e+00,2.224650e-01
4.258000e-02,3.190040e+00,3.300000e+00,-2.156908e-01
4.259000e-02,3.408746e+00,3.300000e+00,2.221148e-01
4.260000e-02,3.190215e+00,3.300000e+00,-2.153408e-01
4.261000e-02,3.408572e+00,3.300000e+00,2.217652e-01
4.262000e-02,3.190390e+00,3.300000e+00,-2.149915e-01
4.263000e-02,3.408398e+00,3.300000e+00,2.214161e-01
4.264000e-02,3.190565e+00,3.300000e+00,-2.146426e-01
4.265000e-02,3.408224e+00,3.300000e+00,2.210675e-01
4.266000e-02,3.190739e+00,3.300000e+00,-2.142944e-01
4.267000e-02,3.408050e+00,3.300000e+00,2.207196e-01
4.268000e-02,3.190913e+00,3.300000e+00,-2.139467e-01
4.269000e-02,3.407877e+00,3.300000e+00,2.203722e-01
4.270000e-02,3.191086e+00,3.300000e+00,-2.135995e-01
4.271000e-02,3.407704e+00,3.300000e+00,2.200253e-01
4.272000e-02,3.191260e+00,3.300000e+00,-2.132530e-01
4.273000e-02,3.407531e+00,3.300000e+00,2.196790e-01
4.274000e-02,3.191433e+00,3.300000e+00,-2.129069e-01
4.275000e-02,3.407359e+00,3.300000e+00,2.193332e-01
4.276000e-02,3.191606e+00,3.300000e+00,-2.125614e-01
4.277000e-02,3.407186e+00,3.300000e+00,2.189880e-01
